code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vvls9gm;15880;1;Jerietta;I'm Quitting Heroing;1;Sat, 29 Apr 2023 14:21:39 GMT;1,68278E+12;7;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;4;F;S;S;S;A;F;D;;
vvls2ls;15453;3;Nicole Ascart;My Next Life as a Villainess: All Routes Lead to Doom!;2;Sat, 29 Apr 2023 14:06:13 GMT;1,68278E+12;30;;;;No;No;;;10;0;2;7,32966E+17;7,32966E+17;7,17031E+17;18;F;S;S;S;B;F;D;;
vvls2ld;1544;5;Sen;Granblue Fantasy;0;Sat, 29 Apr 2023 14:06:10 GMT;1,68278E+12;14;;;;No;No;;;5;0;0;7,32966E+17;7,32966E+17;7,17031E+17;8;F;S;S;S;A;F;D;;
vvldkv3;15623;3;FT-17;Girls und Panzer;2;Sat, 29 Apr 2023 12:58:47 GMT;1,68277E+12;26;;;;No;No;;;2;1;2;7,32966E+17;7,32966E+17;6,48032E+17;15;F;S;S;S;A;D;D;;
vvldtsz;892;5;Sherlock Holmes;Fate/Grand Order;3;Sat, 29 Apr 2023 12:48:08 GMT;1,68277E+12;145;;;;No;No;keep;;8;1;3;;7,32966E+17;7,17031E+17;78;F;S;S;F;A;D;D;;
vvl76q1;51994;1;Akela;Jungle Book;2;Sat, 29 Apr 2023 12:35:17 GMT;1,68277E+12;6;;;;No;No;;;1;0;2;;7,32966E+17;7,17031E+17;4;F;S;S;F;F;F;D;;
vvlsm4d;45499;1;Baseball Mask;High-Rise Invasion;0;Sat, 29 Apr 2023 12:35:06 GMT;1,68277E+12;3;;;;No;No;;;1;0;0;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vvltvr6;52090;1;Ogata;Tokyo Ghoul: Jack;2;Sat, 29 Apr 2023 12:19:50 GMT;1,68277E+12;3;;;;No;No;tokyo;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vvl7h1j;7320;4;Diarmuid Ua Duibhne;Fate/Zero;1;Sat, 29 Apr 2023 12:04:33 GMT;1,68277E+12;28;;;;No;No;;;17;0;1;7,32966E+17;7,32966E+17;7,17031E+17;15;F;S;S;S;A;F;D;;
vvltt5w;52191;1;Liliane Vaude;Black Clover;1;Sat, 29 Apr 2023 11:48:48 GMT;1,68277E+12;4;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;C;F;D;;
vvltt52;8092;4;Kumada;Famicom Detective Club: The Missing Heir;2;Sat, 29 Apr 2023 11:48:43 GMT;1,68277E+12;21;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;A;F;D;;
vv1gm28;989;5;Tooru Oikawa;Haikyuu!!;4;Sat, 29 Apr 2023 11:39:46 GMT;1,68277E+12;365;;;;Yes;No;worker;;508;0;4;7,32966E+17;7,32966E+17;7,17031E+17;236;F;S;S;S;S;S;D;;
qs24s5;6861;1;Vermouth;Detective Conan;3;Sat, 29 Apr 2023 11:21:54 GMT;1,68277E+12;14;;;;No;No;;Chris Vineyard;8;0;3;7,6826E+17;7,32966E+17;6,48032E+17;10;F;S;S;F;A;F;A;;
vvl7jx6;3223;2;Power;Chainsaw Man;3;Sat, 29 Apr 2023 11:13:07 GMT;1,68277E+12;189;;;;No;No;keep;;7053;1;3;;7,32966E+17;7,17031E+17;98;F;S;S;F;A;D;D;;
0nqjp7;4295;1;Vermouth;Detective Conan;3;Sat, 29 Apr 2023 11:12:56 GMT;1,68277E+12;14;;;;No;No;dcmk;Sharon Vineyard;8;0;1;;1,48584E+17;7,30538E+17;10;F;B;F;F;B;F;A;;
vvl70x6;4021;2;Ristarte Doll;Cautious Hero: The Hero Is Overpowered but Overly Cautious;2;Sat, 29 Apr 2023 11:12:14 GMT;1,68277E+12;21;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;A;F;D;;
vvlt771;52139;1;Honi;Arata the Legend;3;Sat, 29 Apr 2023 10:22:06 GMT;1,68276E+12;8;;;;No;No;;;1;0;3;7,32966E+17;7,32966E+17;7,17031E+17;4;F;S;S;S;S;F;D;;
vvlt1t5;50238;1;Ken Kakura;Altered Carbon: Resleeved;2;Sat, 29 Apr 2023 10:06:20 GMT;1,68276E+12;3;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vvltgvm;12079;3;Akari Sakishima;Nagi no Asukara;2;Sat, 29 Apr 2023 09:43:11 GMT;1,68276E+12;27;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;15;F;S;S;S;A;F;D;;
vvl8k0p;51810;1;Misaka 10777;A Certain Magical Index III;3;Sat, 29 Apr 2023 09:23:37 GMT;1,68276E+12;20;;;;No;No;;;4;0;3;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;A;F;D;;
vvlljjq;8122;2;Tauroneo;Fire Emblem: Path of Radiance;2;Sat, 29 Apr 2023 08:37:54 GMT;1,68276E+12;22;;;;No;No;;;1;2;2;7,32966E+17;7,32966E+17;6,48032E+17;15;F;S;S;S;S;C;D;;
vvlfcm8;52463;1;Kaoru Tsutsui;Real Girl;1;Sat, 29 Apr 2023 07:33:44 GMT;1,68275E+12;1;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;0;F;S;S;S;B;F;D;;
vvllh53;12515;3;Liz T. Blood;Blood Lad;3;Sat, 29 Apr 2023 07:08:08 GMT;1,68275E+12;58;;;;No;No;;;7;0;3;;7,32966E+17;7,17031E+17;30;F;S;S;F;B;F;D;;
