"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vqn0g5c","29701","2","Sonju","The Promised Neverland","2","Wed, 12 Jul 2023 13:28:49 GMT","1689168529097","40","","","","No","No","","","11","0","2","732966109916954677","732966109916954677","717030509405929503","21","F","S","S","S","B","F","D","",""
"vqnv9q9","54266","1","Doctor Ferrara","Pokémon: Black & White","2","Wed, 12 Jul 2023 12:29:07 GMT","1689164947171","5","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqnvf80","54759","1","Keita Kagari","My Sweet Tyrant","0","Wed, 12 Jul 2023 11:28:36 GMT","1689161316381","1","","","","No","No","","","0","0","0","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","B","F","D","",""
"vqjx1bt","18941","2","An Incarnation of Radius","Sword Art Online Movie: Ordinal Scale","3","Wed, 12 Jul 2023 05:37:56 GMT","1689140276045","55","","","","No","No","","","2","0","3","732966109916954677","732966109916954677","717030509405929503","30","F","S","S","S","A","F","D","",""
"vqjsvfn","25864","2","Florimond Claude de Mercy-Argenteau","The Rose of Versailles","2","Wed, 12 Jul 2023 04:58:03 GMT","1689137883209","12","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","5","F","S","S","S","A","F","D","",""
"vqjd1ft","2216","5","Lily Shiraishi","Demon King Daimao","2","Wed, 12 Jul 2023 02:50:09 GMT","1689130209199","47","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","25","F","S","S","S","A","F","D","",""
"vqjp2fc","15200","1","Palm Siberia","Hunter x Hunter (2011)","1","Tue, 11 Jul 2023 16:20:23 GMT","1689092423769","14","","","","No","No","","","14","0","1","732966109916954677","732966109916954677","717030509405929503","8","F","S","S","S","A","F","D","",""
"vqjzh2k","54911","1","Scavenger Liaison","A Certain Scientific Accelerator","2","Tue, 11 Jul 2023 13:46:38 GMT","1689083198197","6","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","A","F","D","",""
"vqjbmqw","54832","1","Nelly","Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side","0","Tue, 11 Jul 2023 07:49:32 GMT","1689061772983","1","","","","No","No","","","1","0","0","","732966109916954677","717030509405929503","0","F","S","S","F","B","F","D","",""
"vqjbwlb","52844","1","Naoto","Gleipnir","2","Tue, 11 Jul 2023 07:29:14 GMT","1689060554987","5","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","F","F","D","",""
"vqjwsj9","54828","1","Ayase Noboribetsu","SPRiNGS: Junjou -SAKURA-","2","Tue, 11 Jul 2023 05:35:52 GMT","1689053752561","7","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","4","F","S","S","S","B","F","D","",""
"h35dh5","73","1","Hu Tao","Genshin Impact","4","Tue, 11 Jul 2023 05:31:03 GMT","1689053463647","343","","","hauntedstone","Yes","No","lp","","4628","15","2","732966109916954677","732966109916954677","721059198816747580","333","B","B","S","S","S","S","A","",""
"vqj212v","52872","1","Kakashi's Susanoo","Naruto Shippuden","3","Tue, 11 Jul 2023 05:03:34 GMT","1689051814665","84","","","","No","No","","","18","0","3","","732966109916954677","717030509405929503","40","F","S","S","F","B","F","D","",""
"vqj2mfz","17701","3","Cooler","Dragon Ball Z Movie 5: Cooler's Revenge","2","Tue, 11 Jul 2023 04:50:25 GMT","1689051025492","50","","","","No","No","","","33","0","2","732966109916954677","732966109916954677","717030509405929503","28","F","S","S","S","B","F","D","",""
"vqjmtd2","54529","1","Grace Synclavia","Hybrid x Heart Magias Academy Ataraxia","3","Mon, 10 Jul 2023 22:44:56 GMT","1689029096083","12","","","","No","No","","","0","0","3","732966109916954677","732966109916954677","717030509405929503","5","F","S","S","S","C","F","D","",""
"vqb6593","54691","1","Masami Fujii","Ro-Kyu-Bu! SS","3","Mon, 10 Jul 2023 19:42:49 GMT","1689018169297","13","","","","No","No","","","1","0","3","732966109916954677","732966109916954677","717030509405929503","5","F","S","S","S","A","F","D","",""
"vqbd520","43429","1","Mrs. Neumann","Monster","3","Mon, 10 Jul 2023 17:20:45 GMT","1689009645089","3","","","","No","No","","","1","0","3","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","S","F","D","",""
"vqb79lg","31593","2","Gustav Honda","Fire Force","0","Mon, 10 Jul 2023 15:39:14 GMT","1689003554672","5","","","","No","No","fire","","1","0","0","","732966109916954677","717030509405929503","1","F","S","S","F","F","F","D","",""
"vqbtj57","54865","1","Jun Saotome","Dokidoki! Precure","2","Mon, 10 Jul 2023 15:02:12 GMT","1689001332779","3","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqb8s6d","54721","1","Sayuri Kakinuma","Another","0","Mon, 10 Jul 2023 14:11:43 GMT","1688998303381","2","","","","No","No","another","","1","0","0","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","S","F","D","",""
"vqb8kd1","19371","2","Eclair","Food Fantasy","1","Mon, 10 Jul 2023 13:07:45 GMT","1688994465872","16","","","","No","No","","","1","0","1","732966109916954677","732966109916954677","717030509405929503","8","F","S","S","S","A","F","D","",""
"vqb8nwc","16808","3","Gai Tsutsugami","Guilty Crown","2","Mon, 10 Jul 2023 12:32:19 GMT","1688992339315","25","","","","No","No","","","1","0","2","732966109916954677","732966109916954677","717030509405929503","14","F","S","S","S","A","F","D","",""
"vqb30vn","54856","1","Kong Que","Voice of Fox","4","Mon, 10 Jul 2023 04:23:47 GMT","1688963027410","16","","","","No","No","","","0","0","4","732966109916954677","732966109916954677","717030509405929503","8","F","S","S","S","A","F","D","",""
"vqbzjsq","34119","1","Male Student","Famicom Detective Club: The Girl Who Stands Behind","1","Mon, 10 Jul 2023 01:58:24 GMT","1688954304490","1","","","","No","No","","","0","0","1","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","A","F","D","",""
"vqb2t9s","54789","1","Mamori Tokonome","Valkyrie Drive: Mermaid","3","Sun, 09 Jul 2023 16:44:19 GMT","1688921059720","14","","","","No","No","","","2","0","3","732966109916954677","732966109916954677","717030509405929503","8","F","S","S","S","S","F","D","",""
